Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2017/11/16, 14:54:03, 53.196880, -4.216270, 77.53,  69480.00, 43, 0, 37.76, 1
2017/11/16, 14:54:04, 53.196991, -4.216042, 78.08,  66924.00, 44, 0, 19.57, 1
2017/11/16, 14:54:05, 53.197094, -4.215829, 79.49,  66420.00, 47, 0, 18.23, 1
2017/11/16, 14:54:06, 53.197197, -4.215607, 80.06,  64296.00, 47, 0, 18.70, 1
2017/11/16, 14:54:07, 53.197292, -4.215435, 81.53,  60372.00, 45, 0, 15.58, 1
2017/11/16, 14:54:09, 53.197502, -4.215138, 80.94,  57312.00, 38, 0, 30.61, 1
2017/11/16, 14:54:10, 53.197647, -4.215094, 79.25,  56484.00, 29, 0, 16.39, 1
2017/11/16, 14:54:11, 53.197792, -4.215095, 78.81,  56052.00, 19, 0, 16.12, 1
2017/11/16, 14:54:12, 53.197910, -4.215091, 78.14,  50436.00, 12, 0, 13.12, 1
2017/11/16, 14:54:13, 53.198067, -4.215346, 76.83,  55368.00, 351, 0, 24.36, 1
2017/11/16, 14:54:14, 53.198177, -4.215387, 76.81,  49932.00, 347, 0, 12.53, 1
2017/11/16, 14:54:15, 53.198303, -4.215437, 75.95,  49824.00, 348, 0, 14.40, 1
2017/11/16, 14:54:16, 53.198441, -4.215330, 75.30,  53244.00, 357, 0, 16.92, 1
2017/11/16, 14:54:18, 53.198692, -4.214969, 73.74,  61092.00, 25, 0, 36.84, 1
2017/11/16, 14:54:19, 53.198822, -4.214656, 72.89,  67968.00, 37, 0, 25.37, 1
2017/11/16, 14:54:21, 53.199093, -4.214241, 71.74,  71712.00, 39, 0, 40.89, 1
2017/11/16, 14:54:22, 53.199200, -4.213971, 71.25,  72000.00, 45, 0, 21.56, 1
2017/11/16, 14:54:24, 53.199345, -4.213371, 71.06,  75888.00, 61, 0, 43.10, 1
2017/11/16, 14:54:25, 53.199398, -4.213068, 71.58,  70668.00, 62, 0, 21.03, 1
2017/11/16, 14:54:26, 53.199463, -4.212824, 73.12,  64584.00, 62, 0, 17.79, 1
2017/11/16, 14:54:27, 53.199547, -4.212583, 73.58,  64764.00, 63, 0, 18.57, 1
2017/11/16, 14:54:28, 53.199593, -4.212297, 73.19,  63756.00, 67, 0, 19.72, 1
2017/11/16, 14:54:29, 53.199627, -4.211998, 72.88,  68616.00, 73, 0, 20.27, 1
2017/11/16, 14:54:30, 53.199657, -4.211679, 72.31,  74196.00, 77, 0, 21.51, 1
2017/11/16, 14:54:31, 53.199665, -4.211284, 70.75,  83700.00, 80, 0, 26.33, 1
2017/11/16, 14:54:33, 53.199760, -4.210607, 70.41,  84996.00, 77, 0, 46.31, 1
2017/11/16, 14:54:34, 53.199814, -4.210253, 69.30,  79740.00, 75, 0, 24.33, 1
2017/11/16, 14:54:35, 53.199867, -4.209949, 68.61,  74412.00, 74, 0, 21.09, 1
2017/11/16, 14:54:36, 53.199921, -4.209649, 68.55,  72144.00, 73, 0, 20.87, 1
2017/11/16, 14:54:37, 53.199997, -4.209383, 68.18,  68220.00, 70, 0, 19.63, 1
2017/11/16, 14:54:38, 53.200085, -4.209119, 68.71,  70056.00, 67, 0, 20.12, 1
2017/11/16, 14:54:39, 53.200165, -4.208826, 67.31,  76176.00, 67, 0, 21.45, 1
2017/11/16, 14:54:40, 53.200306, -4.208503, 65.45,  84816.00, 62, 0, 26.62, 1
2017/11/16, 14:54:42, 53.200562, -4.207901, 62.32,  86256.00, 56, 0, 49.17, 1
2017/11/16, 14:54:43, 53.200695, -4.207587, 61.16,  84888.00, 59, 0, 25.62, 1
2017/11/16, 14:54:45, 53.200912, -4.206970, 59.52,  83736.00, 62, 0, 47.66, 1
2017/11/16, 14:54:46, 53.201015, -4.206658, 58.25,  84672.00, 61, 0, 23.73, 1
2017/11/16, 14:54:48, 53.201248, -4.206087, 58.81,  81576.00, 57, 0, 46.02, 1
